Course_Name,University,District,Z_Score,Stream,Unicode
PHYSICAL SCIENCE (PHY.SC),University of Colombo,Colombo,1.4028,Physical,013A
PHYSICAL SCIENCE (PHY.SC),University of Colombo,Gampaha,1.4027,Physical,013A
PHYSICAL SCIENCE (PHY.SC),University of Sri Jayewardenepura,Colombo,1.2351,Physical,013C
PHYSICAL SCIENCE (PHY.SC),University of Sri Jayewardenepura,Gampaha,1.2322,Physical,013C
PHYSICAL SCIENCE (PHY.SC),University of Kelaniya,Colombo,1.1400,Physical,013D
PHYSICAL SCIENCE (PHY.SC),University of Kelaniya,Gampaha,1.1415,Physical,013D
PHYSICAL SCIENCE (PHY.SC),University of Peradeniya,Colombo,1.2890,Physical,013B
PHYSICAL SCIENCE (PHY.SC),University of Peradeniya,Gampaha,1.2924,Physical,013B
PHYSICAL SCIENCE (PHY.SC),University of Jaffna  Sri Lanka,Colombo,0.9527,Physical,013E
PHYSICAL SCIENCE (PHY.SC),University of Jaffna  Sri Lanka,Gampaha,0.8866,Physical,013E
PHYSICAL SCIENCE (PHY.SC),University of Ruhuna,Colombo,1.0667,Physical,013F
PHYSICAL SCIENCE (PHY.SC),University of Ruhuna,Gampaha,1.0668,Physical,013F
APPLIED SCIENCES (PHY.SC),Sabaragamuwa University of Sri Lanka,Colombo,1.0350,Physical,015L
APPLIED SCIENCES (PHY.SC),Sabaragamuwa University of Sri Lanka,Gampaha,1.0350,Physical,015L
APPLIED SCIENCES (PHY.SC),Rajarata University of Sri Lanka,Colombo,0.9673,Physical,015K
APPLIED SCIENCES (PHY.SC),Rajarata University of Sri Lanka,Gampaha,0.9703,Physical,015K
APPLIED SCIENCES (PHY.SC),Wayamba University of Sri Lanka,Colombo,0.8808,Physical,015M
APPLIED SCIENCES (PHY.SC),Wayamba University of Sri Lanka,Gampaha,0.8600,Physical,015M
SURVEYING SCIENCES,Sabaragamuwa University of Sri Lanka,Colombo,1.0726,Physical,014L
